0.04,0.629,0.798,0.426,0.374,0.34,0.943,0.449,0.669,0.497,0.806,0.093
0.038,0.038,0.043,0.04,0.041,0.042,0.043,0.039,0.041,0.04,0.044,0.049
37 PS,4048,4048,4118,4118,4129,4129,4138,4138,4201,4201,
0.037,0.039,0.038,0.038,0.036,0.035,0.04,0.036,0.037,0.034,0.035,0.036
0.039,0.288,0.306,0.2,0.239,0.15,0.207,0.239,0.391,0.203,0.203,0.169
0.037,0.257,0.192,0.212,0.412,0.115,0.178,0.149,0.183,0.16,0.158,0.153
0.041,0.222,0.162,0.178,0.208,0.186,0.167,0.137,0.157,0.174,0.182,0.095
0.037,0.3,0.23,0.266,0.351,0.239,0.117,0.159,0.569,0.181,0.189,0.079
0.04,0.308,0.392,0.405,0.268,0.246,0.131,0.281,0.377,0.185,0.159,0.082
0.04,0.52,0.702,0.355,0.353,0.579,0.376,0.57,0.295,0.322,0.32,0.088
0.039,0.041,0.04,0.041,0.038,0.047,0.039,0.038,0.037,0.035,0.035,0.037
37 PS,4214,4214,4297,4297,4298,4298,4306,4306,4310,4310,
0.038,0.035,0.036,0.037,0.041,0.041,0.036,0.04,0.037,0.038,0.046,0.04
0.037,0.239,0.218,0.373,0.381,0.409,0.499,0.286,0.243,0.147,0.155,0.277
0.038,0.174,0.171,0.458,0.605,0.401,0.339,0.22,0.24,0.145,0.151,0.069
0.039,0.213,0.15,0.543,0.534,0.461,0.423,0.263,0.262,0.18,0.191,0.079
0.041,0.307,0.191,0.273,0.123,0.156,0.154,0.224,0.362,0.162,0.404,0.069
0.039,0.322,0.135,0.234,0.144,0.193,0.121,0.272,0.399,0.172,0.151,0.075
0.037,0.381,0.467,0.152,0.1,0.339,0.128,0.36,0.466,0.227,0.103,0.064
0.042,0.038,0.038,0.039,0.038,0.04,0.042,0.039,0.039,0.037,0.04,0.04
37 PS,4315,4315,4317,4317,4319,4319,4322,4322,4325,4325,
0.037,0.039,0.035,0.038,0.037,0.043,0.039,0.036,0.039,0.042,0.036,0.059
0.039,0.341,0.349,0.146,0.138,0.189,0.235,0.281,0.263,0.274,0.227,0.266
0.04,0.246,0.201,0.101,0.14,0.166,0.176,0.311,0.269,0.181,0.19,0.086
0.037,0.407,0.171,0.114,0.128,0.164,0.186,0.471,0.415,0.208,0.19,0.082
0.037,0.327,0.142,0.114,0.145,0.23,0.26,0.191,0.293,0.239,0.238,0.101
0.036,0.961,0.327,0.153,0.247,0.319,0.381,0.208,0.385,0.291,0.292,0.084
0.038,0.662,0.894,0.694,0.849,0.691,0.383,0.298,0.404,0.57,0.164,0.093
0.039,0.038,0.037,0.041,0.037,0.041,0.04,0.043,0.041,0.034,0.037,0.043
37 PS,4326,4326,4328,4328,4329,4329,4333,4333,4336,4336,
0.036,0.034,0.034,0.034,0.035,0.037,0.04,0.037,0.036,0.035,0.036,0.038
0.036,0.221,0.362,0.213,0.394,0.203,0.332,0.343,0.596,0.236,0.33,0.245
0.042,0.202,0.329,0.21,0.249,0.183,0.207,0.223,0.303,0.135,0.194,0.076
0.037,0.264,0.291,0.164,0.23,0.163,0.193,0.221,0.178,0.147,0.195,0.075
0.037,0.63,0.692,0.193,0.652,0.326,0.352,0.364,0.768,0.32,0.361,0.077
0.037,0.41,1.141,0.312,0.893,0.361,0.943,0.342,1.604,0.535,0.243,0.07
0.037,0.752,1.14,1.149,1.869,0.631,0.247,1.217,1.101,0.935,0.197,0.073
0.037,0.037,0.037,0.038,0.038,0.04,0.037,0.038,0.038,0.035,0.036,0.036
